oa,english
"i-na 2 ma-na 10 GÍN KÙ.B. ša i-n[a] ni-kà-sé a-na E-lá-ma i-na-pu-lu-ni-[im] ŠÀ.BA 1⅓ ma-na 3 GÍN KÙ.B. al-qé ší-tí KÙ.B. ⅔ ma-na 7 GÍN KI A-šùr-ma-lik Ì-lí-a-lim ù La-qé-ep a-lá-qé","Of the 2 minas 10 shekels of silver that one will balance to Elamma at the accounting, 1 mina 23 shekels thereof I took; the rest of the silver, 47 shekels, I will collect from Aššur-mālik, Ilī-ālum and Lā-qēp."
"2 ma-na 14 GÍN KÙ.B. i-na ša [A-šu]r-be-el-a-wa-tim i-na <gap>","2 minas 14 shekels of silver from what belongs to Aššur-bēl-awātim, from/in <gap>"
"5 GÍN KÙ.B. a-na DUMU.MÍ Hi-na-a 10 GÍN a-na DUMU.MÍ A-šur-ni-šu","5 shekels silver for Hinnāya's daughter, 10 shekels for Aššur-nišū's daughter,"
"3 GÍN a-na DUMU.MÍ I-dí-na-bi-im DUMU Ba-la 1 GÍN a-na Lá-ma-sí ša Ištar-pu-úz-ri","3 shekels for the daughter of Iddin-abum, son of Bala, 1 shekel for Lamassī of Ištar-puzrī,"
"⅔ ma-na KÙ.B. šé-bu-ul-ta-ša a-na Lá-ma-sí DUMU.MÍ A-šur-UTU a-dí-in 5½ GÍN a-na Um-mì-Iš-ha-ra","⅔ mina of silver, her consignment, I gave to Lamassī, daughter of Aššur-šamšī, 5½ shekels for Ummī-Išhara,"
"4 ri-ik-sú ku-nu-ki-a a-na É A-lá-hi-im ù Zi-kur-i-lí mi-ma a-nim IGI Da-dí-a áp-qí-id","four packets with my seals for the house of Ali-ahum and Zikur-ilī - all this I entrusted (for transport) in the presence of Dadiya."
"2 ri-ik-sí ša Šu-Be-lim DUMU A-šur-be-el-a-[wa-tim [a]-na a-ha-ti-šu [ù DUMU].MÍ-šu [IG]I A-ta-a áp-qi-id[(LI)","Two packets of Šu-Bēlum, son of Aššur-bēl-awātim, for his sister and his daughter I entrusted (for transport) in the presence of Ataya."
"[x ma]-na 17 GÍN A-šur-DÙL [x m]a-na LÁ 1½ GÍN En-na-ma-núm [x]+2 ma-na 2 GÍN A-mur-Ištar 4 5/6 ma-na Ú-zu-ub-iš-ku-um","[x] mina(s) 17 shekels Aššur-ṣulūlī, [x] mina(s) minus 1½ shekel Ennamānum, [x]+2 minas 2 shekels Amur-Ištar, 4 5/6 minas Uzubiškum,"
"2 5/6 ma-na 7 GÍN A-zu-a 3 ma-na 7 GÍN Ku-ra 3 ma-na i-pá-ni-ú-tim ni-kà-sé Ku-ra","2 minas 57 shekels Azua, 3 minas 7 shekels Kura, 3 minas from an earlier settlement of accounts Kura,"
"1 ma-na Ma-nu-ki-A-šur 6 ma-na 12 GÍN Í-li-a-lúm 2 5/6 ma-na A-šur-ma-lik DUMU Ú-sà-ni-[im]","1 mina Mannu-kī-Aššur, 6 minas 12 shekels Ilī-ālum, 2 5/6 minas Aššur-mālik, son of Usānum,"
"2 ma-na 12 GÍN DUMU I-tur4-DINGIR [x m]a-na Pu-šu-ki-[in] 1½ ma-na Š[u-ku-*b]u-um 9 GÍN A-š[ur-i-m]i-tí","2 minas 12 shekels the son of Itūr-ilī, [x] mina(s) Pūsu-kēn, 1½ mina Šu-Kūbum, 9 shekels Aššur-imittī"
"[x m]a-na i-n[u-mi] <gap>-a ú Ku-ra [a-n]a* Ba-at-na [i-l]i-ku-ni [n]i-dí-šu-nu-tí","[x] mina(s) when <gap>a and Kura went Batna we gave to them."
"i-na 2 m[a-na KÙ.B.] ša hu-bu-ul Pu[zur4-EN.LÍL] ša ṭup-pí-šu ha-[ar-mi-im] ù ½ ma-na K[Ù.B.] ša a-ha-ma: a-dí-[šu-ni] ŠÀ.BA 2½ GÚ 4½ [ma-na] URUDU al-qé","Of the 2 minas of silver that are the debt of Puzur-Ellil, recorded in his certified tablet, and of the ½ mina of silver I had given him separately, thereof I obtained 2 talents 34½ minas of copper."
"i-na 1 GÚ 50 ma-na URUDU ù 10 GÍN KÙ.B. ša hu-bu-ul Puzur4-EN.LÍL","Of the 1 talent 50 minas of copper and 10 shekels of silver that are the debt of Puzur-Ellil,"
"ŠÀ.BA 1 ma-na KÙ.B. KI Ša-lím-A-šur DUMU Up-ha-qí-im aṣ-ba-at","thereof I seized 1 mina of silver from Šallim-Aššur, son of Uphāqum."
"10 ⅔ GÍN A-šùr-ma-lik i-lá-qé ⅔ ma-na 5/6 GÍN Kàr-wa-a","10⅔ shekels Aššur-mālik will take, 40 5/6 shekels Karwaya,"
"11 GÍN Iṣ-mi-id-DINGIR ½ ma-na 3⅔ GÍN Šu-Ku-bu-um 15⅓ GÍN Bu-zu-ta-a","11 shekels Iṣmid-Ilum, 33⅔ shekels Šu-Kūbum, 15⅓ shekels Buzutāya"
"10 GÍN KÙ.B. a-na I-dí-Sú-en DUMU En-na-ni-im a-dí-in","10 shekels of silver I gave to Iddin-Suen, son of Ennānum."
"5 GÍN a-na Im-dí-DINGIR ½ GÍN a-na GUDU4 1/6 GÍN a-na nu-a-ri-im 22½ ŠE.GÍN a-na ŠU.I 22½ ŠE.GÍN a-na ša-AB-KI-tim*","5 shekels for Imdī-ilum, ½ shekel for the priest, 1/6 shekel for the singer, 1/8 shekel for the barber, 1/8 shekel for <gap>."
"3 GÍN KÙ.B. iš-tí Eb-lá-i-im ša SÍG.HI.A il5-qé-ú","3 shekels of silver due from the man from Ebla, who took wool."
"3½ ma-na KÙ.B.-áp Ú-zu-a i-na li-bi-a Hi-na-a il5-qé","3½ minas of silver of Uzua Hinnāya took at my expense."
"IGI A-šur-be-el-a-wa-tim DUMU Šu-A-nim IGI En-nam-IŠKUR DUMU Zi-ra","In the presence of Aššur-bēl-awātim, son of Šu-Anum, of Ennam-Adad, son of Zira."
"um-mi-a-nu-šu a-na ší-a-ma-tim ú-ra-ki-sú-ni","His investors had contractually bound me to (provide it) for making purchases."
"11¼ GÍN iš-tí A-šur-ba-ni 11 GÍN iš-tí Puzur4-A-šur","11¼ shekels due from Aššur-bāni; 11 shekels due from Puzur-Aššur."
"9 GÍN KÙ.B. ša DAM Ha-ar-ša-a a-na A-šur-mu-ta-pí-il5 ha-bu-la-at-ni me-eh-ra-tim a-dí-šu-um","9 shekels of silver which Haršāya's wife owes to Aššur-mūtappil, its equivalent I gave to him."
"a-na ṣé-er 12 GÍ[N 1]3 GÍN KÙ.B. a-na A-šur-mu-ta-pí-il5","In addition to 12 shekels 13 shekels of silver for Aššur-mūtappil."
"2 TÚG ša DAM.MÍ Kur-ub-Ištar a-na A-šur-ma-lik a-dí-in","Two textiles of the wife of Kurub-Ištar I gave to Aššur-mālik."
"i-nu-mì TÚG.HI.A ša šé-pí-a ni-im-nu 2 TÚG sà-áp-dí-nu(m) É.GAL-lúm il5-qé 1 šu-lu-up-kà-um ú 2 ku-ta-nu ha-al-qú","When we counted the textiles shipped under my responsibility the palace took 2 sapdinnu-textiles; 1 Šulupkaean-textile and 2 kutānu-textiles were lost."
"5 TÚG.HI.A il5-tab-šu","Five textiles they took for their clothing."
"1 me-at 17 šu-ru-tum a-na É.GAL-lim e-ru-bu ŠÀ.BA 2 TÚG qá-a-tí ša Kur-ub-Ištar","117 dark textiles entered the palace, two of which are the share of Kurub-Ištar."
"96 ku-ta-nu ša Ì-lí-a 12 ku-ta-nu ša A-šur-lá-ma-sí","96 kutānu-textiles of Iliya, 12 kutanu textiles of Aššur-lamassī,"
"1 me-at (erasure) ša Kur-ub-Ištar 1 me-at LÁ 2 ša E-lá-ma","100 of Kurub-Ištar, 98 of Elamma."
"2½ TÚG ku-ta-ni I-li-a i-na-pá-al 1½ GÍN KÙ.B. i-lá-qé","2½ kutānu-textiles Iliya will give as compensation, he will get 1½ shekel of silver."
"½ ma-na 1⅓ GÍN Kur-ub-Ištar i-na-pá-al 5⅔ GÍN A-šur-lá-ma-sí","31⅓ shekels Kurub-Ištar will give as compensation, 5⅔ shekels Aššur-lamassī."
"a-na 17 ku-ta-ni ša i-na Ba-at-na ha-al-qú-ni 1⅓ ma-na.TA AN.NA ILLAT-tum ú-ma-lí-ni-a-tí","For the 17 kutānu-textiles that were lost in Batna the caravan paid us a compensation of 1⅓ mina of tin per (person)."
"ša la-qá-im Ku-ra il5-ta-qé","Kura has successively obtained what he was entitled to."
"½ ma-na KÙ.B. be-ú-lá-tí-šu Ku-ra i-na a-lim il5-qé ½ ma-na KÙ.B. a-na pá-ni-šu A-šur-ma-lik ú-šé-bi4-il5","Kura has received ⅓ mina of silver, his working capital, in the City, (and) ½ mina of silver Aššur-mālik sent to him en route."
"i-na lu-qú-tim ša šé-ep Kur-ub-Ištar 2 GÚ AN.NA ú lí-wi-sú 15 ku-ta-ni [2] ANŠE.HI.A sa-lá-me [Kur-ub-I]štar ip-qí-dam","Of the merchandise shipped under Kurub-Ištar's responsibility Kurub-Ištar entrusted to me 2 talents of tin with its wrapping, 15 kutānu-textiles (and) 2 black donkeys."
"[ŠÀ.BA] 1 šu-uq-lam ip-ṭur4-ma 11 ma-na AN.NA [i]l5-té-qé","Of this load he has broken the seals of one packet and has taken 11 minas of silver."
"a-šu-mì ša hu-lu-qá-e","For the matter of the losses."
"a-na-ku Ku-ra <ù> Šu-Ištar ni-pá-hu-ur-ma iš-té-ni-iš a-na Pi-lá-ah-Ištar DUMU Ú-zu-a a-wa-tám ni-da-an IGI Lá-qé-ep IGI E-me-me IGI A-šur-i-dí","I, Kura <and> Šu-Ištar will come together and together we will address Pilah-Ištar, son of Uzua, with Lā-qēp, Ememe and Aššur-idī as witnesses."
"šu-ma ib-tù-a-ni-a-tí iš-ti-ni i-ra-ba-áš","Should he prevail over us, then he can present his claim together with us."
"2 GÚ 56⅔ ma-na AN.NA qá-dum AN.NA qá-tim 15 LÁ 1/4 GÍN.TA 12 ma-na LÁ ⅓ GÍN KÙ.B.-áp-šu","2 talent 56⅔ minas of tin, including the loose tin, at 14¾ shekels per (shekel of silver), its price in silver: 11 minas 59 ⅔ shekels;"
"ší-im TÚG.HI.A ù ANŠE.HI.A 2½ ma-na","2½ minas of silver, the price of the textiles and the donkeys."
"KÙ.B. ŠU.NIGIN (erasure) 14½ ma-na LÁ ⅓ GÍN <<KÙ.B.>> KÙ.B. E-lá-ma is-ni-iq-ni-a-tí","In all 14 minas 19⅓ shekels of silver Elamma weighed out to us."
"2 TÚG ku-ta-nu 10 GÍN KÙ 4 TÚG lu-bu-š[u] 2 TÚG ra-qá-ta-an 2 TÚG šu-lu-up-kà-ú 1 ma-na 9 GÍN KÙ.B. it-bu-lu-ú","2 kutānu-textiles (cost) 10 shekels of silver, 4 garments, 2 thin textiles (and) 2 Šulupkaean textiles cost 1 mina 9 shekels of silver."
"24 ma-na AN.NA 1 ½ ma-na [7] GÍN KÙ.B it-ba-[al]","24 minas of tin cost 97 shekels of silver."
"5 TÚG lu-bu-[šu 1 TÚG] ra-qú-tum 1 TÚG ku-ta-nu 1 ma-na [KÙ.B.] a-na qá-tí-a ṭá-hi","5 garments, 1 thin textile (and) 1 kutānu-textile (for) 1 mina of silver have been booked as my share."
"4 TÚG ku-ta-nu DIRI-t[um]* 3 TÚG ša ṣú-ùh-r[i-im] ša A-bu-ša-lim iš-[ú-mu]","4 kutānu-textiles of very fine quality, 3 garments for youngsters which Abu-šalim bought."
"ša 48 ma-na KÙ[.B] 2 ma-na KÙ.GI ša-du-a-tám A-šur-i-mi-tí","For 48 minas of silver (and) 2 minas of gold the šaddu'utu-fee of Aššur-imittī < I paid >."
"16 GÍN KÙ.B. KI A-šur-i-mi-tí 2 ma-na 5 GÍN [Ha-da-ú-ni]","16 shekels of silver are due from Aššur-imittī, 2 minas 5 shekels (due from?) Hada'uni."
"ša 1½ ma-na 3 GÍN AN.NA ša ni-ip-lá-tim ša Hi-na-a 7½ GÍN.TA KÙ.B.-šu 12 ½ GÍN 15 ŠE KÙ.B.","Of the 1 mina 33 shekels of tin, of the balance payment of Hinnāya, at 7½ shekels (of tin) per (shekel of silver) its amount in silver is 12 5/12 shekels."
"i-na ša A-mur-A-šur 16 [G]ÍN KÙ.B. ša ša-du-i-tim","From what Amur-Aššur (owes?), 16 shekels of silver, of the šaddu'utu-tax,"
"ha-bu-lu ŠÀ.BA 12½ GÍN 15 ŠE Pi-lá-ah-Ištar il5-qé 3½ GÍN 15 ŠE E-lá-ma il5-qé","thereof Pilah-Ištar took 12 5/12 shekels, Elamma took 3 7/12 shekels."
"25 2/3 ma-na 5 GÍN a ni-kà-sí-kà 1 ma-na 15 GÍN ta-na-pá-al","25 minas 45 shekels are for your account, you will make a balance payment of 1 mina 15 shekels."
"lá-ma a-li-kà-ni a-ha-ma 5/6 ma-na KÙ.B. ša lu-qú-tí-kà: i-li-bi4 E-lá-ma 6 GÍN KÙ.B. a-kà-ri-im na-pá-lam qá-bi4-a-ku-ni","Before I had come, separately, 5/6 mina of silver from your merchandise was charged to Elamma; 6 shekels of silver was what I have been ordered to balance to the colony."
"a-na E-lá-ma 18 GÍN KÙ.B. ta-na-pá-al","To Elamma you will make a balance payment of 18 shekels of silver."
"23 ⅓ ma-na Hi-na-a qá-sú i-dí","23 ⅓ minas Hinnāya has deposited as his share."
"ša 3 TÚG ½ ma-na.TA 1 ma-na qá-sú i-dí 5½ TÚG.TA 10 GÍN.TA 3 TÚG ša ik-ri-[bi4]-kà 10 GÍN.TA iš-ku-nu-nim","For 3 textiles at ½ mina apiece he deposited 1 mina as his share, 5½ textiles at 10 shekels apiece, (for) 3 textiles of your temple-fund they submitted 10 shekels apiece."
"ŠU.NIGIN2 25 ma-na 15 GÍN KÙ.B. ša a-ni-kà-sí-kà na-ad-a-tí-ni","In all: 25 minas 15 shekels of silver, which you have as deposit on your account."
"1 ma-na 15 GÍN ša tá-na-pu-lu ša ni-kà-sí-šu (KU) ša Hi-na-a","1 mina and 15 shekels you have to balance are (for) Hinnāya's account."
"24⅓ ma-na KÙ.B. ù ša 3 TÚG 1 ma-na 7½ GÍN (erasure) ša ANŠE (erasure) ša 12 TÚG 4 ma-na ša 1 TÚG ku-ta-nim ša Ku-ni-lim 11 GÍN E-la-ma","24⅓ minas of silver and 1 mina for 3 textiles, 7½ shekels for a donkey, for 12 textiles 4 minas, for 1 kutānu-textile of Kūn-ilum 11 shekels – Elamma."
"23 5/6 ma-na ú ša 3 TÚG 1 ma-na Šu-Ku-bu-um","23 5/6 minas and 1 mina for 3 textiles – Šu-Kūbum."
"[1] ma-na 15 GÍN [Hi-na-a i-na-pá-a]l* <gap> E-la-ma <gap>","1 mina 15 shekels Hinnāya will balance <gap> Elamma <gap>"
"2 ma-na 10 [GÍN] Šu-Ku-bu-um i-na-pá-lam","2 minas 10 shekels Šu-Kūbum will balance to me."
"iš-tù ni-ip-lá-tum ša Hi-na-a ú Šu-Ku-bi4-im ba-at-qá-ni ⅔ ma-na 2 GÍN a-na kà-ri-im a-na-pá-al","After the balance payments by Hinnāya and Šu-Kūbum have been deducted I will balance 42 shekels to the colony."
"KIŠIB I-dí-A-šur DUMU Ì-lí-dan KIŠIB A-šur-SIPA DUMU I-dí-da KIŠIB E-lá-ma DUMU I-dí-Sú-in [KIŠIB] Puzur4-Ištar DUMU [A]-šur-ma-lik","Seal of Iddin-Aššur, son of Ilī-dān, seal of Aššur-rē'ī, son of Idida, seal of Elamma, son of Iddin-Suen, seal of Puzur-Ištar, son of Aššur-mālik."
"ší-ma-at I-dí-A-šur DUMU Ì-lí-dan","Testament of Iddin-Aššur, son of Ilī-dān."
"be-el5 ší-ma-tí-a a-na ba-áb DINGIR lá ú-šé-ru-du","They shall not lead my testamentary executors down to the Gate of the God."
"ša ú-šé-ru-du 10 ma-na KÙ.B. i-ša-qal","Who does lead them down shall pay 10 minas of silver."
"½ ma-na 5 G[ÍN KÙ.B. ṣa-ru-pu-um] ù 13½ ma-na URUD[U SIG5] i-lí-bi: Id-n[a-a]","35 shekels of refined silver and 13½ minas of refined copper are due by Idnāya."
"iš-tù ha-mu-u[š-tim] ša Am-ri-a ù [E]-[lá-lí] ki-ma a-wa-at kà-ri-im a-na ṣi-ib-tim i-lá-ak-šum","They become interest-bearing for him at the rate stipulated by the colony from the week-eponymy of Amriya and Elālī."
"1½ ma-na KÙ.B. ṣi-ib-tum pá-ni-tum 5/6 ma-na KÙ.B. gam-ru-um ša iš-ta-pu-ru-šu-ni i-li-bi4-šu-ma","1½ mina of silver, an earlier interest, (and) 5/6 mina of silver, expenses, about which he wrote him repeatedly, he also owes."
"KIŠIB I-pí-li-is KIŠIB A-šur-na-da DUMU A-mur-lu-sú KIŠIB La-qé-pí-im","Seal of Ippilis, seal of Aššur-nādā, son of Amur-ilūssu, seal of Lā-qēpum,"
"ša E-la-ma ù Id-[na-a] ma-ah-ri-ni: ni-k[à-sé] i-[sí-ú]-ma*","that Elamma and Idnāya settled accounts in our presence:"
"½ ma-na KÙ.B. a-na I-dí-A-šur","½ mina of silver for Iddin-Aššur;"
"1⅓ ma-na KÙ.B. a-na Ah-ša-lim ŠÀ.BA ⅓ ma-na a-na Lu-zi ÌR ša A-lá-hi-im","1⅓ mina of silver for Ah-šalim, of which ⅓ mina is for Luzi, the slave of Ali-ahum;"
"⅓ ma-na a-na [K]u-da-dim kà-ṣa-ar [A]-[šur-m]a-lik","⅓ mina for Kudādum, the harnesser of Aššur'-mālik."
"i-[na] té-er-tí-a i-da-an-šu-nu-tí","He will give it to them by my instruction."
"ša 3 GÍN KÙ.B. si-ba-ra-tim a-na Ah-ša-lim","For 3 shekels of silver sibarātum for Ah-šalim."
"1⅓ ma-na KÙ.B. ku-nu-ki-a a-na Ah-ša-lim ½ ma-na KÙ.B. ku-nu-ki-a a-na I-dí-A-šur Ṣé-eh-ri-i-lí ú-bi4-il5-šu-nu-tí","1⅓ mina of silver under my seal for Ah-šalim, ½ mina of silver under my seal for Iddin-Aššur, Ṣeher-ilī brought it to them."
"IGI Šu-Ku-bi4-im DUMU Qá-a-a-tim IGI A-lá-hi-im DUMU A-šur-ma-lik","In the presence of Šu-Kūbum, son of Qa'atum, of Ali-ahum, son of Aššur-mālik."
"i-nu-mì A-hu-w[a-qar] iš-tù a-lim i-tù-[ra]-[ni] šu-uq-lam [ku-nu-kí] ša a-lim [<gap> ù] E-lá-ma i-pá-t[ù-ru-ma]","When Ahu-waqar comes back from the City PN and Elamma will break open the packet with seals applied in the City"
"50 ma-na AN.N[A] i-du-nu-šu-ma iš-[tù] u₄-mi-im ša AN.N[A] i-lá-qé-ú 15 ha-am-ša-tim","and they will give him 50 minas of tin and from the day he gets the tin he will go (travel) for 15 weeks"
"i-lá-ak-ma 8½ ma-na KÙ.B ṣa-ru-pá-am A-hu-wa-[qar] i-ša-qal","and then Ahu-waqar will pay 8½ minas of refined silver."
"KIŠIB A-lá-hi-im KIŠIB A-li-li KIŠIB A-bi4-lá KIŠIB Lá-qé-ep","Seal of Ali-ahum, seal of Ali-ilī, seal of Abila, seal of Lā-qēp,"
"ša i-na ba-áb-tim ša A-šùr-be-el-ma-al-ki-im ša iš-ti DUMU A-tù-[ri]-a ù A-mur-A-šur Hi-na-a iṣ-bu-tù-ma a-na E-lá-ma ip-qi-du","that what Hinnāya had seized as part of an outstanding claim of Aššur-bēl-malkim from Atūriya's son and from Amur-Aššur and had entrusted to Elamma -"
"2 ma-na 13½ GÍN KÙ.B. ṣa-ru-pá-am E-lá-ma a-na A-lá-hi-im ù A-li-li ip-qi-du KÙ.B.","an amount of 2 minas 13½ shekels of refined silver, which Elamma in turn had entrusted to Ali-ahum and Ali-ilī – that this silver will become"
"a-na A-lá-hi-im A-li-li ù Hi-na-a a-ba-re-šu-nu i-lá-ak","the joint property/responsibility of Ali-ahum, Ali-ilī and Hinnāya."
"KIŠIB Hi-na-a KIŠIB I-ku-pí-A-šur DUMU En-um-A-šur","Seal of Hinnāya, seal of Ikuppi-Aššur, son of Ennam-Aššur,"
"ša [1½] ma-na KÙ.B. me-eh-ra-at ba-áb-tí-šu ša Lá-[qé-ep] E-lá-ma a-na Lá-qé-ep ú-šé-bi-lu","that Elamma sent to Lā-qēp 1½ mina of silver as counter value of Lā-qēp's outstanding claims."
"Lá-[qé-ep KÙ.B.]-áp-šu i-lá-qé Š[À.BA] 5 GÍN KÙ.[B. ší-i]m ½ ku-ta-[ni]m ṣa-[h]u-ru","Lā-qēp will take his silver (and) from it 5 shekels of silver, the price of ½ kutānu-textile, have been deducted."
"KIŠIB Šu-Ku-bi4-im DUMU Qá-a-tim KIŠIB A-lá-hi-im DUMU A-šur-ma-lik KIŠIB Ku-na-a DUMU Ma-na-na","Seal of Šu-Kūbum, son of Qa'atum, seal of Ali-ahum, son of Aššur-mālik, seal of Kunnāya, son of Manana."
"a-na gám-ri-im ù hu-lu-qá-e ša ILLAT Ì-li-a-lim a-na mì-ma šu-um-šu Ku-na-a a-na E-lá-ma ú-lá i-tù-ar","For expenses and losses of the caravan of Ilī-ālum, whatsoever, Kunnāya shall not raise claims against Elamma."
"a-na 30 ma-na AN.NA ša Ku-na-a: a-na ILLAT Ì-li-a-lim nu-du-a-e i-dí-ú qá-dé ILLAT-ma a-na a-wi-tí-šu i-za-sú-um","As for the 30 minas of tin, for which Kunnāya served Ilī-ālum's caravan a notice, it will belong to him together with (the other members of) the caravan according to its declared value."
"1 ma-na KÙ.B. ša Hi-na-a E-lá-ma a-na I-dí-Sú-en6 ú-šé-bi4-il5 Ṣé-eh-ri-lí ú-bi4-il5","1 mina of silver belonging to Hinnāya Elamma dispatched to Iddin-Suen, Ṣeher-ilī brought it away."
"IGI Na-ni-a IGI A-šur-DUG","Witnessed by Naniya, by Aššur-ṭāb"
"da-a-sú ù ú-kúl-tù-šu ša Ki-ta-a iš-tù Bu-ru-uš-ha-tim a-dí a-lim E-lá-ma iš-qúl","The road-tax he incurs and the food of Kitaya from Burušhattum until the City Elamma has paid."
"šu-ma iš-tù A-lim ú-nu-tám ša E-lá-ma lá i-sà-ri-dam da-a-sú ù ú-kúl-tù-šu Ki-ta-a ú-ma-lá","If he does not transport the goods of Elamma from the City Kitaya will compensate (what was paid him for) the road-tax and food."
"IGI Šu-Ištar IGI Šu-A-šùr","In the presence of Šu-Ištar, of Šu-Aššur."
"12 GÍN KÙ.B. ší-im TÚG ša En-na-nim DUMU A-zu-a: ša É-lá-ma il5-qé-ú: um-ma E-lá-ma-ma a-na En-na-nim DUMU A-ku-kà um-me-a-ni-kà KÙ.B. áš-qúl","As for the 12 shekels of silver, the price of a textile belonging to Ennānum, son of Azua, which Elamma took, Elamma declared: I paid the silver to Ennānum, the son of Akuka, your investor."
"um-ma Na-na-a-ma En-na-núm iš-pu-ri-ma GEME ša E-lá-ma ak-ta: um-ma En-[na-num-ma] a-lik: a-ma-sú [ki-t]a* mi-m[a] <gap>","Nanaya said: At Ennānum's behest I took Elamma's slave-girl as security, for Ennānum told (me): Go and take his slave-girl as security! Any <gap>"
"<gap> i-pì En-na-nim DUMU A-ku-ka: Na-na-a GEME ša E-lá-ma ik-ta: šu-ma E-lá-ma","<gap> declared: It was at the instruction of Ennānum, son of Akuka, that Nanaya took Elamma's slave-girl as security. If Elamma has paid"
"KÙ.B. En-na-nim ú-ša-bi4 ½ ma-na K[Ù].B. Na-na-a: a-na [*E-lá-m]a i-ša-qal","the silver to Ennānum Nanaya will pay ½ mina of silver to Elamma."
"[IGI x x *d]i-a I[GI* x x x D]UMU Šu-Ištar IGI Šu-Ištar DUMU Da-da-nim","In the presence of <gap>diya, of <gap>, son of Šu-Ištar, of Šu-Ištar, son of Dadānum."
"a-ma-kam i-na be-el id-ma-tim ša ki-ma um-mi-a-né ma-ma-an: mì-ma ú-lá i-ṭá-hi","Over there no one of the share-holders representing the investors shall approach anything."
"a-ma-lá ṭup-pì-im ša a-lim i-ša-ri-iq-šu-um","According to the tablet of the City, (if he does) it will be considered as stolen by him."
"4½ GÚ URUDU SIG5 1 GÚ 20 ma-na URUDU lá-mu-nu-um i-na ma-ṣa-ar-tim ša A-mur-A-šur A-šur-na-da [E-lá]-ma ù A-šur-SIPA [ú]-[šé]-ṣí-ú","4½ talents of refined copper, 1 talent and 20 minas of poor copper Aššur-nādā, Elamma and Aššur-rē'ī brought out of the strong-room of Amur-Aššur."
"[A]-šur-na-da ki-ma KÙ-pí-šu [e]-ru-ub E-lá-ma [ù] A-šur-SIPA [k]i-ma um-mì-a-ni [e-r]u-bu [A]-šur-ni-šu [ki-ma] Ku-ra e-ru-ub","Aššur-nādā entered on account of his own (claim on) silver, Elamma and Aššur-rē'ī entered in the name of the investors, Aššur-nišū entered representing Kura."
"[IGI] A-šur-na-da IGI Zi-ká-i IGI Ar-ší-ah IGI Ku-ku-lá-nim IGI E-lá-li-a","Witnessed by Aššur-nādā, Zikayi Arši-ah, Kukkulānum, and Elāliya."
"ṭup-pí-šu ib-ri-ú-ma ù šu-nu-ma ik-nu-ku-ma a-na ma-ṣa-ar-tim ú-šé-ri-bu","They inspected his tablets and they were also the ones who sealed them (again) and brought (again) into the strong-room."
"[KIŠIB Š]u-Be-lim KIŠIB A-šur-i-dí [š]a E-lá-ma Šu-Ištar ba-áb [h]a-ra-ni-šu iṣ-bu-tù-ma","Seal of Šu-Bēlum, seal of Aššur-idī, (confirming) that Elamma seized Šu-Ištar when he was about to go on a journey"
"[u]m-ma E-lá-ma-ma 12½ ma-na 7½ GÍN KÙ[B.] [ṣa]-ru-pá-am i-na e-ra-bi4-kà i-na Wa-ah-šu-ša-na šé-bi4-lam","and that Elamma said to him: 12 minas and 37½ shekels of refined silver you must send me when you enter Wahšušana."
"ù ša ší-ti AN.NA-ki-a i-na Bu-ruš-ha-tim i-na e-ra-bi4-kà-ma šé-bi4-lam","And what (is due) for the remainder of my tin you must send me when you enter Burušhattum."
"šu-ma lá tù-šé-bi4-lam <gap> a-na URUDU SIG5 <gap>-kà a-lá-qé","If you fail to do so, <gap> for refined copper shall I take your <gap>?"
"[um-ma Šu-I]štar-ma li-qé","Šu-Ištar answered: Take it."
"KIŠIB Šu-Ku-bi-im KIŠIB Šu-Ištar KIŠIB A-mur-A-šur","Seal of Šu-Kūbum, seal of Šu-Ištar, seal of Amur-Ištar,"
"ša 2 GÚ AN.NA i-na e-lá AN.NA-ki-šu E-lá-ma a-na Šu-Ištar a-na Bu-ru-uš-ha-tim [ú-šé]-ba-al-šu-ma","that, when his tin comes up (from Assur) Elamma will send 2 talents of tin to Šu-Ištar in Burušhattum and that"
"i-na ma-hi-[ir] i-za-zu 1 GÍN.TA: Šu-Ištar ú-ma-lá-[šum]-ma KÙ.B. ṣa-ru-pá-am i-na e-ra-áb AN.NA-ki-šu i-ša-qal","Šu-Ištar will deliver in full to him 1 shekel (of silver) per (shekel of tin) above the current rate of exchange and that he will pay purified silver on the arrival of his tin."
"a-na E-lá-ma qi-bi-ma um-ma A-hu-qar ù A-šùr-iš-tí-kál-ma","Say to Elamma, thus Ahu-waqar and Aššuriš-tikal:"
"a-na-kam Šu-Be-lúm ni-iṣ-ba-at-ma ṭup-pá-am me-eh-ra-am ša Lá-qé-ep nu-ša-áš-me-šu-ma um-ma né-nu-ma ší-bu-ta-kà dí-in","Here we seized Šu-Bēlum and we made him listen to the tablet, a copy, of Lā-qēp and we said to him: Give your testimony!"
